s,˚C
cas,teplota
0,23
30,23.5
60,24
90,24
120,24.5
150,25
180,27
210,28
240,31
270,32
300,32.5
330,35
360,37
390,37.5
420,40
450,43
480,43.5
510,44
540,44
570,44.5
600,45
630,47
660,48
690,49
720,49.5
750,50
780,51
810,52
840,52.5
870,53.5
900,56
930,58
960,59
990,60
1020,62
1050,62
1080,62
1110,61
1140,61
1170,61
1200,60
1230,60
1260,60
1290,60
1320,59.5
1350,59.5
1380,59
1410,59
1440,58.5
1470,58.5
1500,58
1530,58
1560,58
1590,57.5
1620,57
