I (A),čas (s),P [W] 
I,t,P
0.29,0.375,0.18502
0.276,0.75,0.1675872
-3.307,1.125,24.0597478
-2.731,1.5,16.4083942
-2.195,1.875,10.599655
-1.83,2.25,7.36758
-1.448,2.625,4.6127488
-1.27,3,3.54838
-0.973,3.375,2.0828038
-0.827,3.75,1.5046438
-0.624,4.125,0.8566272
-0.521,4.5,0.5971702
-0.418,4.875,0.3843928
-0.34,5.25,0.25432
-0.286,5.625,0.1799512
-0.259,6,0.1475782
-0.196,6.375,0.0845152
-0.197,6.75,0.0853798
-0.115,7.125,0.029095
-0.116,7.5,0.0296032
-0.073,7.875,0.0117238
-0.076,8.25,0.0127072
-0.045,8.625,0.004455
-0.038,9,0.0031768
-0.036,9.375,0.0028512
-0.02,9.75,0.00088
0,10.125,0
-0.013,10.5,0.0003718
0,10.875,0
0,11.25,0
0,11.625,0
0,12,0
0,12.375,0
0,12.75,0
0,13.125,0
0,13.5,0
0,13.875,0
0,14.25,0
0,14.625,0
0,15,0
0,15.375,0
0,15.75,0
0,16.125,0
0,16.5,0
0,16.875,0
0,17.25,0
0,17.625,0
0,18,0
0,18.375,0
0,18.75,0
0,19.125,0
0,19.5,0
0,19.875,0
0,20.25,0
0,20.625,0
0,21,0
0,21.375,0
0,21.75,0
0,22.125,0
0,22.5,0
0,22.875,0
0,23.25,0
0,23.625,0
0,24,0
0,24.375,0
0,24.75,0
0,25.125,0
0,25.5,0
0,25.875,0
0,26.25,0
0,26.625,0
0,27,0
0,27.375,0
0,27.75,0
0,28.125,0
0,28.5,0
0,28.875,0
0,29.25,0
0,29.625,0
