I (A),čas (s),P [W] 
I,t,P
3.847,0.375,46.164
3.248,0.75,38.976
2.733,1.125,32.796
2.37,1.5,28.44
1.991,1.875,23.892
1.693,2.25,20.316
1.486,2.625,17.832
1.31,3,15.72
1.173,3.375,14.076
1.031,3.75,12.372
0.964,4.125,11.568
0.844,4.5,10.128
0.783,4.875,9.396
0.713,5.25,8.556
0.655,5.625,7.86
0.625,6,7.5
0.59,6.375,7.08
0.55,6.75,6.6
0.524,7.125,6.288
0.493,7.5,5.916
0.481,7.875,5.772
0.464,8.25,5.568
0.437,8.625,5.244
0.432,9,5.184
0.404,9.375,4.848
0.407,9.75,4.884
0.392,10.125,4.704
0.388,10.5,4.656
0.363,10.875,4.356
0.36,11.25,4.32
0.356,11.625,4.272
0.358,12,4.296
0.352,12.375,4.224
0.347,12.75,4.164
0.335,13.125,4.02
0.311,13.5,3.732
0.304,13.875,3.648
0.334,14.25,4.008
0.301,14.625,3.612
0.314,15,3.768
0.329,15.375,3.948
0.337,15.75,4.044
0.282,16.125,3.384
0.299,16.5,3.588
0.31,16.875,3.72
0.31,17.25,3.72
0.316,17.625,3.792
0.328,18,3.936
0.314,18.375,3.768
0.304,18.75,3.648
0.3,19.125,3.6
0.277,19.5,3.324
0.314,19.875,3.768
0.313,20.25,3.756
0.305,20.625,3.66
0.319,21,3.828
0.309,21.375,3.708
0.304,21.75,3.648
0.296,22.125,3.552
0.275,22.5,3.3
0.296,22.875,3.552
0.304,23.25,3.648
0.272,23.625,3.264
0.309,24,3.708
0.278,24.375,3.336
0.296,24.75,3.552
0.272,25.125,3.264
0.293,25.5,3.516
0.304,25.875,3.648
0.268,26.25,3.216
0.309,26.625,3.708
0.282,27,3.384
0.299,27.375,3.588
0.315,27.75,3.78
0.286,28.125,3.432
0.255,28.5,3.06
0.293,28.875,3.516
0.3,29.25,3.6
0.308,29.625,3.696
