I (A),čas (s),P [W] 
I,t,P
0.077,0.375,0.0130438
-3.02,0.75,20.06488
-2.869,1.125,18.1085542
-2.651,1.5,15.4611622
-2.559,1.875,14.4066582
-2.407,2.25,12.7460278
-2.307,2.625,11.7089478
-2.169,3,10.3500342
-2.066,3.375,9.3903832
-1.942,3.75,8.2970008
-1.842,4.125,7.4645208
-1.683,4.5,6.2314758
-1.617,4.875,5.7523158
-1.483,5.25,4.8384358
-1.374,5.625,4.1533272
-1.244,6,3.4045792
-1.249,6.375,3.4320022
-1.116,6.75,2.7400032
-1.049,7.125,2.4208822
-1.033,7.5,2.3475958
-0.896,7.875,1.7661952
-0.84,8.25,1.55232
-0.777,8.625,1.3282038
-0.718,9,1.1341528
-0.703,9.375,1.0872598
-0.611,9.75,0.8213062
-0.576,10.125,0.7299072
-0.566,10.5,0.7047832
-0.517,10.875,0.5880358
-0.458,11.25,0.4614808
-0.434,11.625,0.4143832
-0.381,12,0.3193542
-0.368,12.375,0.2979328
-0.312,12.75,0.2141568
-0.306,13.125,0.2059992
-0.306,13.5,0.2059992
-0.27,13.875,0.16038
-0.235,14.25,0.121495
-0.202,14.625,0.0897688
-0.201,15,0.0888822
-0.154,15.375,0.0521752
-0.146,15.75,0.0468952
-0.183,16.125,0.0736758
-0.134,16.5,0.0395032
-0.107,16.875,0.0251878
-0.089,17.25,0.0174262
-0.086,17.625,0.0162712
-0.081,18,0.0144342
-0.07,18.375,0.01078
-0.054,18.75,0.0064152
-0.047,19.125,0.0048598
-0.042,19.5,0.0038808
-0.067,19.875,0.0098758
-0.032,20.25,0.0022528
-0.038,20.625,0.0031768
-0.037,21,0.0030118
-0.023,21.375,0.0011638
0,21.75,0
-0.015,22.125,0.000495
0,22.5,0
0,22.875,0
0,23.25,0
0,23.625,0
0,24,0
0,24.375,0
0,24.75,0
0,25.125,0
0,25.5,0
0,25.875,0
0,26.25,0
0,26.625,0
0,27,0
0,27.375,0
0,27.75,0
0,28.125,0
0,28.5,0
0,28.875,0
0,29.25,0
0,29.625,0
