V,A,V,A
Unast,I,U,Inast
0.198,0.0126,1.4,0.01008
0.396,0.0122,1.48,0.00882
0.594,0.012,1.52,0.00756
0.792,0.012,1.58,0.0063
0.99,0.0082,1.62,0.00504
1.188,0.0078,1.66,0.00378
1.386,0.0074,1.7,0.00252
1.584,0.0052,1.76,0.00126
